FROZEN | Written by Adam Green January 28, 2009
PARKER | You can do it. Please do it.Lynch reaches forward again...and his hand slips on the icycable. He momentarily hangs by one arm.
LYNCH | 
X | Arrrrr!
R | He reaches up and grabs hold again...his strength is weaning.
LYNCH | (through gritted teeth) Got it.
A | Another few quick reaches forward and he is more than halfwayacross to the next chair.From Lynch's point of view we can see his feet floating abovethe earth and hear the sound of his own heart beat. His own
M | pained breathing fills his ears.It's only now that he sees two of the wolves watching himfrom the bushes. LYNCH (cont'd) Motherfucker.
D | The wind blows hard against him, swaying his body back andforth as he momentarily rests. LYNCH (cont'd) I've got an audience.
E | Parker looks down, just in time to see one of the wolves duckback into the bushes.Her movement makes the chair groan harder. The cable twangsloudly between Lynch's shaky movements and the twisted metalthat holds the arm in place.
PARKER | The chair is gonna fall!
LYNCH | No. No it's not.Slowly he makes his way the remaining distance and positionshimself over the other chair.
90. | He drops down onto it, sending shards of ice cascading downinto the snow below.He quickly sits down, breathing heavy and clutching the sidesof the chair. LYNCH (cont'd)
X | Take that Jenny Bluth!
PARKER | You made it!
A | LYNCH (cont'd) Please.He stands up on the chair and reaches up to the cable. He isweak.
M | Very weak. LYNCH (cont'd) Parker. I want you to throw my extra pole as far as you can this way.
D | She can't quite hear him.
PARKER | What?
PARKER | Oh shit.
91. | The pole lands under the second chair, splitting the distancebetween where she is and where the tree is. PARKER (cont'd) Sorry.
LYNCH | 
X | Hey. Halfway to me is better than up there with you, right? (to himself) Shit.
R | He starts to pull himself up again, but turns back to Parkerone more time.The chair has settled down.
A | LYNCH (cont'd) Stay perfectly still. I'm gonna get you home, OK?He pulls himself up, straining hard.
M | LYNCH (cont'd) Rrrrugh!This gets the wolves attention.In the bushes their ears and eyes perk up to the sky,watching their potential next meal grapple with the high wirecable.
D | With reserved strength, Lynch shimmies across the cable asquickly as he can.Back at Parker's chair, she eyes the bending metal bolt that
E | is keeping her from plunging to the ground.Tears stream down her face again.
PARKER | (whispered) Please god, don't let me fall. Don't let me fall.He stops once to catch his breath, but begins moving asquickly as possible.Finally, he reaches the second chair behind them and dropsdown into it.Looking at the lift pole from this position, he can clearlysee that it wasn't as close to the chair as it looked.
92. | But it's possible.
LYNCH | Shit.Parker needs to yell to hear him now.
WHAT? | 
R | He assesses the situation.It's going to take a big leap to try and get near the ladderand he is winded beyond belief.
WHAT'S WRONG? | 
... | 
LYNCH | (to himself)
OK. | 
D | The two stare at each other from the distance. Both of theirweather beaten faces are a mess.Parker is buried in the corner of the chair closest to theground, holding on to the back of it to keep herself steady.
E | Stoically, Lynch turns away from her and takes a deep breath.He climbs up onto the chair back and looks down.Parker closes her eyes and prays.The wolves below do not break their stare. Their hungry eyesare willing Lynch to fall from the chair.It's now or never. LYNCH (cont'd) Yaaaaugh!He throws himself off of the chair and towards the ladder!
93. | He lands and hooks his arm around a rung. With a SNAP his arm dislocates from it's socket, but he is hooked on to the ladder! LYNCH (cont'd) Rrrrugh!
YOU DID IT! YOU DID IT! | With his bad arm dangling by his side, Lynch works his way down the icy metal ladder.
R | Finally he reaches the ground and his body falls with a THUD into the snow.
LYNCH | 
A | Oooof! The wolves' ears are at attention. They watch carefully from the safety of the bushes. One, the LEADER, takes a cautious single step forward and
M | waits.
ANSWER ME!!! | The wolf leader begins a dangerously slow and cautious walk
D | towards Lynch's body. One step at a time.
CUT TO: | 
94. | The wolf surveys the situation and stops in his tracks. The other wolves watch from the bushes.
GET RESCUE. | 
79   EXT. CHAIR LIFT - CONTINUOUS                                    79 | 
CUT TO: | 
M | through it. He moves quickly back up to the area underneath the middle chair. The leader growls. Drool drips down from beneath it's hungry mouth as it takes a step back.
NO!   JOE! | 
E | The wolf leader advances on Lynch. Lynch makes it to the ski pole just in time and brandishes it defensively at the creature. LYNCH (cont'd) Come on! Try something, fucker! The wolf stares back at him, growling. Their eyes are locked. Lynch swings the pole at it angrily. LYNCH (cont'd)
STAY AWAY! | 
SNAP! | 
X | A second wolf rushes Lynch from behind and grabs his injured arm by the jacket and pulls back and forth. LYNCH (cont'd)
ARGH! | 
R | The rest of the wolves quickly reveal themselves in the bushes and slowly saunter up towards the impending kill.
CUT TO: | 
JOE! | 
CUT TO: | 
82   EXT. BELOW THE CHAIR - CONTINUOUS                            82 | 
D | Lynch tries to fight off the wolf with his free arm. Finally, he is able to plunge the ski pole deep into the wolf's body.
E | The wolf SHRIEKS in pain and scampers away towards the safety of the pack. The impending wolves, stop their slow march and wait. This food still has some fight left in it.
ME! | He moves as fast as he can towards the area under Parker's chair, swinging his weapon like a madman all the while. The wolves only stare.
96. | Finally, he reaches the area and grabs Dan's snowboard, still sticking up in the snow. LYNCH (cont'd) Parker, I'm gonna go get help! Don't move and I'll be back as fast as I can!
X | Parker sobs.
A | his body on top of it. Pushing off he begins to slide quickly down the hill.
CUT TO: | 
D | heard now. Parker sobs quietly to herself.
DISSOLVE TO: | 
85   EXT. CHAIR LIFT - NIGHT                                      85 | Parker is not moving in her chair.
FADE TO BLACK. | 
86   EXT. CHAIR LIFT - MORNING                                    86 | 
R | The morning sun hits Parker's pale face. Is she dead? Parker opens her eyes. She must have drifted off for the night. She looks to the tree-line around her.
A | The sun is coming up. She tries to move her body to look back in Lynch's direction and the chair argues back at her with another loud groan and cable noise.
D | She raises the safety bar. There is no more time to think.
E | She is going to die one way or another. Slowly, Parker turns her body around towards the seat of the chair. Holding on to the metal beams that make up the chair, she beings to lower herself, inch by inch, off of the side. CREEEEE-EEK! The lone metal bolt protests the movement and makes metallic threats to snap. Parker keeps lowering herself until her entire lower body is dangling below the chair. RRRRRUUUUUURRR! A gust of wind pushes against the chair, straining the arm.
98. | Parker concentrates and slowly tries to hold up her weight asshe inches her body even lower.Smoothly, slowly, almost there- SNAP! The bolt gives way!The chair lurches down at an even greater angle, sendingParker off of the side!
X | PARKER (cont'd)
AHHHH! | WHIRRR! WAP! No longer attached with the safety bolts, the
R | chair falls several feet and then stops. It is now hangingonly by the one weak thread of cabling that was used toinitially wire it to the main line.Parker's hands catch at the base of the chair, and she is
A | dangling fully beneath it.While it is still a long drop...her feet are now a good 10feet closer to the ground, if not more.CREEEEEK! The metal wire will not hold for more than a few
M | seconds. The chair is going to fall!Parker closes her eyes.All sound cuts out except for her quick breathing and herheartbeat.The camera shows us how much the last flimsy wire does not
D | like this movement as it stretches and the chair sways in thewind.Slowly she looks down and prepares herself to fall.
E | The camera inches closer in to her face from below.Her heartbeat and breathing are all we hear until finally...She let's go.As her body falls from the chair, the flimsy wire finallygives way and the rickety metal seat plummets straight downto the ground after her.
87   EXT. BELOW THE CHAIR - CONTINUOUS                             87 | THUD! Parker lands hard and sound instantly returns to her. She rolls to the side as the chair crashes down in her very spot.
X | She is in tremendous pain but feels the solid ground beneath her like a sailor who has found land for the first time in years. Surveying the damage- her ankle is badly broken underneath
R | the side of the chair that landed on it. Her boot is at an unnatural angle. Adrenaline overtakes her pain as she lifts the chair up and removes her foot from beneath it.
A | She looks around for her snow board, but with all of the fresh snowfall it is buried and gone. Parker lays her body down flat on her jacket and begins to push herself down the mountainside as quickly as she can.
88   EXT. JUST OVER THE HILL - MORNING, CONTINUOUS                 88 | Parker comes down the hill, gaining some speed on her awkward coat/sled.
D | As she makes her way she spots a tree... with bright red blood splayed out in the snow around it. Cautiously she slows herself down.
100. | Quick shots of his jacket, his boots, and his gloved hand all flash before Parker's devastated eyes. She slows herself to a complete stop now. Not knowing what to do. One of the feeding wolves hears this and looks back to see Parker just a few feet away. It is the pack leader. Lynch's blood pools from it's jaws. It's ears go back and it growls loudly at Parker.
R | She makes eye contact with the beast, who stares back at her, almost daring her to try and take it's treasure. Others from the pack look up, distracted briefly, but then go back to feeding. Parker and the pack leader lock eyes. Finally, the leader turns away from Parker, back to his food. Back to his family. Though her face is emotionless, Parker's eyes are swollen with tears as she continues on her way down the mountain side. She is free.
DISSOLVE TO: | 
89   EXT. MOUNT HOLLISTON - LATER                                 89 | Parker continues down the treacherous trail as the snow falls around her. Occasionally she hits bumps and turns that cause her to spill from her awkward coat/sled...but she pulls herself back on and continues to make her way down the hill stoically.
DISSOLVE TO: | 
90   EXT. CHAIR LIFT LINE - LATER                                 90 | Parker reaches the bottom of the hill. Grunting and crying from the pain, she crawls over on her belly and begins to drag herself towards the parking lot.
101. | 
91   EXT. ROAD - MOMENTS LATER                                     91 | Parker drags her devastated body into the street. Just as she gets there....
X | BEEP! A HONKING CAR races past with it's windshield wipers blaring. Narrowly missing being splattered, she collapses in the dirty road. There are no more cars to be seen. She is alone.
A | All that she can do is clutch the ground. And then... Another car approaches in the distance. She holds her hand up weakly.
PARKER | Please. Stop.
CUT TO: | 
92   INT. CAR - CONTINUOUS                                         92 | A DRIVER (male, 50's) is cautiously driving down the wet icy road. He reaches down to adjust the radio. He looks back up to reveal Parker's body in the road in front of him.
93   EXT. ROADSIDE - CONTINUOUS                                    93 | He swerves with a loud SKID! Partially off the road in a skid, his car comes to a stop. Instantly he jumps out and runs to the body on the road.
DRIVER | Hey! Are you OK?! Hello! Parker is not moving.
102. | He runs over to her side. DRIVER (cont'd) Lady. Are you alright? Parker looks up at him and starts to cry with relief.
X | DRIVER (cont'd) Hold on, hold on- we're gonna get you help... He lifts her up into his arms and races her back to his car.
CUT TO: | 
94   INT. CAR - MOMENTS LATER                                    94 | The driver drives frantically, speaking into his cell phone.
DRIVER | (into phone) I don't know. I found her laying in the road alone. Looks like she was in some sort of accident. Right outside of Mount Holliston. I'm taking her to you now.
95   EXT. CAR, LOOKING IN - CONTINUOUS                           95 | Through the passenger side window we see Parker's blank face. If we didn't know better, we'd think she was a rotten cadaver at this point. Reflected in the glass are the lights of a PAPA GINO'S restaurant store front that goes past. Her eyes blink at the sign.
DRIVER | Hold on, Ma'am. The hospital is 10 minutes away. You're gonna be OK. The camera is tighter on her eyes. DRIVER (cont'd) You're gonna be OK. Tight on just one eye.
103. | DRIVER (cont'd) (now in Dan's voice) You're gonna be OK, baby.Her eye closes.
CUT TO BLACK. | 
 | FrozenWriters : Adam GreenGenres : Drama ThrillerUser Comments
 | FrozenWriters : Adam GreenGenres : Drama ThrillerUser Comments
Genres | :
Drama | 
User Comments | 
 | 
 | 
Submit | |
Link to IMSDb | |
Disclaimer | |
Privacy policy | |
Contact | 
 | 
